표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아	뜻풀이
도붓장사	[명사][방언]	NNG	00_00_00	 	 	 	돌림뱅이	노장시	 	 	 	 	도붓당사	도붓당사	다화장사	다화장사, 돌김장사	 	 	 	 	 	이리저리 돌아다니며 물건을 파는 일.
도붓장수	[명사][방언]	NNG	00_00_00	 	 	도부장사	 	 	 	 	 	도비상귀, 도비상기	 	넴도부	 	 	 	 	 	 	 	이리저리 돌아다니며 물건을 파는 사람.
도사리다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	복쉬뒈우다, 뒈사려앉다, 뒈사려앚다, 뒈사리다, 복쉬테우다, 복쉬다리하다, 복쉬뒈와앉다, 복쉬뒈와앚다, 복쉬테와앉다, 복쉬테와앚다	도새리다	도새리다	 	 	 	 	 	 	 	두 다리를 모아 꼬부려 왼쪽 발을 오른쪽 무릎 아래에 괴고 오른쪽 발을 왼쪽 무릎 아래 괴고 앉다
도살장	[명사][방언]	NNG	00_00_00	 	 	 	 	상아청	 	 	 	 	 	 	쇠포장	 	 	 	 	 	 	고기를 얻기 위하여 소나 돼지 따위의 가축을 잡아 죽이는 곳
도서다	[동사][방언]	VV	01_00_00	 	 	 	 	 	 	 	 	보룸둘르다	 	 	 	 	 	 	 	 	 	가거나 오던 방향에서 되돌아서다.
도섭부리다	[동사][방언]	VV	00_00_00	 	 	도삽지이다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	주책없이 능청맞고 수선스럽게 변덕을 부리다.
도섭쟁이	[명사][방언]	NNG	00_00_00	 	 	도삽재이, 도삽쟁이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	주책없이 능청맞고 수선스럽게 변덕을 아주 잘 부리는 사람을 낮잡아 이르는 말
도시락	[명사][방언]	NNG	00_00_00	 	 	 	 	도삼지	 	 	도솔박	동고량, 고룡착, 동고령, 밥당석, 밥장석, 밥차바니	 	 	밥두구래기	펵개	 	 	 	 	 	밥을 담는 작은 그릇
도와주다	[동사][방언]	VV	00_00_00	 	 	도아주다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	남을 위하여 애써 주다.
도저히	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	나시	 	 	 	 	 	 	 	 	 	아무리 하여도.
도적	[명사][방언]	NNG	00_00_00	 	 	도직	 	 	 	 	 	 	도족, 도죽	도족, 도죽	도족	도족	도족	 	도죽	 	 	미존재 뜻풀이
도조	[명사][방언]	NNG	04_00_00	 	 	 	 	 	 	 	 	 	 	지헤	 	 	 	 	 	 	 	남의 논밭을 빌려서 부치고 논밭을 빌린 대가로 해마다 내는 벼
도중	[명사][방언]	NNG	04_00_00	 	 	 	 	 	 	 	 	 	도둥	도둥	 	 	 	 	 	 	 	길을 가는 중간.
도지다	[동사][방언]	VV	01_00_00	 	 	 	 	 	 	 	 	 	 	되디다	 	 	 	 	 	 	 	나아지거나 나았던 병이 도로 심해지다.
도짓소	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	장잇소	 	 	 	 	 	 	 	한 해 동안에 곡식을 얼마씩 내기로 하고 빌려 부리는 소
도치	[명사][방언]	NNG	00_00_00	쉰퉁이, 슁튕이, 신퉁이, 심퉁이, 싱텡이, 싱퉁이, 씽퉁이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
도치기	[명사][방언]	NNG	00_00_00	 	 	도치	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	인색하고 인정이 없는 사람.
도코로마	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	도롱마	 	 	 	 	 	 	 	 	 	외떡잎식물의 한 과
도토리	[명사][방언]	NNG	00_00_00	구람, 꿀밤, 도투리	굴암, 도꾸리, 도꼬리, 도쿠리	굴밤, 꿀밤, 꿀뱀, 데토리, 도털, 도톨, 도톨맹이, 도톨배이, 도톨뱅이, 도트리, 돌꿀밤, 참꿀밤	도투리꿀밤, 턱꿀밤	대토리, 대투리, 데토리, 데투리, 도톨, 도트리, 도틀, 되토리, 되투리	대투리	도트리	굴밤, 보참도토리	동고리, 차남여름, 차낭여름, 차낭열매, 차낭이으름	토토리	썹밤, 토토리	고투밤, 도톨밤, 고출밤, 고톨밤, 도툴밤	가둑밤, 꼬톨밤, 도톨밤, 고톨밤, 고톨배	 	 	 	 	 	갈참나무, 졸참나무, 물참나무, 떡갈나무의 열매를 통틀어 이르는 말
도토리깍정이	[명사][방언]	NNG	00_00_00	구람딱젱이, 꿀밤딱젱이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	도토리의 밑을 싸 받치는 깍정이.
도토리나무	[명사][방언]	NNG	00_00_00	 	도쿠리나무, 도토리낭구	도톨나무	도트리나무, 도트리낭게, 도트리낭구	도토리낭구, 도투리나무, 도트리나무	도투리나무	 	도토리낭기	 	 	 	 	도톨배기	 	 	 	 	 	참나뭇과의 낙엽 활엽 교목
도토리묵	[명사][방언]	NNG	00_00_00	 	 	 	꿀밤묵	 	 	 	 	 	 	 	 	 	 	 	 	 	 	도토리로 만든 묵.
도톨도톨	[부사][방언]	MAG	00_00_00	 	 	 	 	토들토들	 	 	 	 	 	 	 	 	 	 	 	 	 	물체의 겉에 볼록한 작은 것들이 솟아 나오거나 붙어 있어 고르지 않은 모양
도톰하다	[형용사][방언]	VA	00_00_00	 	 	도툼하다	 	토톰허다	 	 	 	 	 	 	 	 	 	 	 	 	 	보기 좋을 정도로 알맞게 두껍다.
도투마리	[명사][방언]	NNG	00_00_00	 	 	 	 	도토말, 도투모리, 도트마리, 배토마리, 베토마리	도투모리	 	 	도꾸마리	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
도포	[명사][방언]	NNG	00_00_00	 	 	두리매이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
도포	[명사][방언]	NNG	04_00_00	도푸	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	예전에, 통상 예복으로 입던 남자의 겉옷
도피	[명사][방언]	NNG	00_00_00	 	 	 	 	되피	되피	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
도화뱅어	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	붕뱅어	도화백어	 	 	 	 	 	 	 	뱅엇과의 민물고기
도화지	[명사][방언]	NNG	00_00_00	 	 	도아지	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	그림을 그리는 데 쓰는 종이.
도회지	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	대처벌	도해지	 	 	 	 	 	 	 	 	 	 	사람이 많이 살고 상공업이 발달한 번잡한 지역.
독	[명사][방언]	NNG	00_00_00	 	 	도가지, 도간지, 도보래기, 무랭이	도가지	도가지, 됙	도가지, 됙, 수퉁아리	 	 	도가지	 	 	 	 	 	도가지	 	 	 	미존재 뜻풀이
독	[명사][방언]	NNG	01_00_00	 	 	수팅이	 	항	 	 	 	항	 	 	 	 	 	 	 	 	 	간장, 술, 김치 따위를 담가 두는 데에 쓰는 큰 오지그릇이나 질그릇
독가시치	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	다찌, 따치, 딴치	 	 	 	 	 	 	 	 	 	독가시칫과의 바닷물고기
독거미	[명사][방언]	NNG	00_00_00	독거무	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	독을 지닌 거미를 통틀어 이르는 말
독경	[명사][방언]	NNG	00_00_00	 	 	 	 	됙경	됙경	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
독교	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	독게, 뒉계, 뒉궤	 	 	 	 	 	 	 	 	 	말 한 마리가 끄는 가마.
독나방	[명사][방언]	NNG	00_00_00	독나뱅이, 독나부이, 독나붕이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	독나방과의 곤충을 통틀어 이르는 말
독돔	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	깍돔, 닥돔	 	 	 	 	 	 	 	 	 	독돔과의 바닷물고기
독메	[명사][방언]	NNG	00_00_00	 	 	독메산, 똑메	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	외따로 떨어져 있는 조그마한 산.
독뱀	[명사][방언]	NNG	00_00_00	 	 	 	 	독배암, 독배얌, 독비암, 독비얌	독배암, 독배얌, 독비암, 독비얌	 	 	 	 	 	 	 	 	 	 	 	 	독이 있는 뱀.
독버섯	[명사][방언]	NNG	00_00_00	독버섶	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	독이 있는 버섯
독벌레	[명사][방언]	NNG	00_00_00	독버러지, 독벌거지, 독벌기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	독을 가진 벌레. 모기, 벼룩, 빈대 따위가 있다.
독별나다	[형용사][방언]	VA	00_00_00	 	 	 	 	똑별나다	똑별나다	 	 	 	 	 	 	 	 	 	 	 	 	홀로 유별나다.
독사	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	독시기	 	 	 	 	 	 	 	 	미존재 뜻풀이
독사	[명사][방언]	NNG	03_00_00	 	 	 	 	 	 	 	 	 	 	둑새	 	 	몽투리	 	 	 	 	이빨에 독이 있어 독액을 분비하는 뱀.
독사눈	[명사][방언]	NNG	00_00_00	 	 	독새눈, 독새눈까리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	표독스럽게 생긴 눈을 비유적으로 이르는 말.
독살스럽다	[형용사][방언]	VA	00_00_00	개살스럽다	 	 	 	 	 	개살스럽다, 매살스럽다	개살스럽다, 매살스럽다	 	 	 	 	 	 	 	 	 	 	성품이나 행동이 살기가 있고 악독한 데가 있다.
독살스레	[부사][방언]	MAG	00_00_00	 	 	독살시리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	성품이나 행동이 살기가 있고 악독한 데가 있다.
독수리	[명사][방언]	NNG	00_00_00	똑수리	 	뚝수리, 새추리, 터벅수리, 덕수리, 둑수리, 둑시리, 터북수리	독새, 똑소래기, 독소리, 둑수리, 똑소레기, 똑수리	 	둑수리	독소리, 둑수리	독소리, 둑수리	똑수레기, 똥소리기	 	 	대모수리, 대머수리, 대미수리, 독소리, 독술	닥수리, 덕수리, 덕술기, 덕슬개	독술매미	 	 	 	 	수릿과의 새
독식	[명사][방언]	NNG	00_00_00	 	 	 	 	돌식	 	 	 	 	 	 	 	 	 	 	 	 	 	혼자서 먹음.
독장치다	[동사][방언]	VV	00_00_00	 	 	 	 	깨춤치다	 	 	 	도판말다, 도판몰다, 독장거리다	 	 	 	 	 	 	 	 	 	어떠한 판을 혼자서 휩쓸다.
독촉	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	채긴	채긴	 	 	 	 	 	 	 	일이나 행동을 빨리 하도록 재촉함.
독판치다	[동사][방언]	VV	00_00_00	동판치다	 	 	 	 	 	 	 	독판몰다	 	 	 	 	 	 	 	 	 	어떠한 판을 혼자서 휩쓸다.
독하다	[형용사][방언]	VA	00_00_00	 	 	 	 	독합다, 무독허다	 	 	 	 	 	 	 	 	 	 	 	 	 	독기가 있다.
돈꿰미	[명사][방언]	NNG	00_00_00	 	 	돈꾸러미	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	예전에, 엽전을 꿰는 꿰미 또는 꿰어 놓은 엽전 뭉치를 이르던 말
돈나무	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	똥낭	 	 	 	 	 	 	 	 	 	돈나뭇과의 상록 활엽 관목
돈내기	[명사][방언]	NNG	00_00_00	 	 	 	돈내띠기	돈냏기	돈냏기	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돈냥	[명사][방언]	NNG	00_00_00	 	 	 	 	 	돈낭	 	 	 	돈낭간	돈낭, 돈낭간	 	 	 	 	 	 	 	쉽사리 헤아릴 만큼 그다지 많지 아니한 돈.
돈놀이	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	돈놓이	돈뇌이, 변노이, 돈놓이	 	돈뇌	 	 	 	 	 	남에게 돈을 빌려 주고 이자를 받는 것을 업으로 하는 일
돈더미	[명사][방언]	NNG	00_00_00	돈가리, 돈데미, 돈무지	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돈을 쌓아 놓은 더미라는 뜻으로, 매우 많은 돈을 이르는 말
돈모	[명사][방언]	NNG	00_00_00	 	 	대지털	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돈뭉치	[명사][방언]	NNG	00_00_00	 	 	돈덩거리, 돈뭉티기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	많은 돈을 말아 묶어 놓은 뭉치.
돈벌레	[명사][방언]	NNG	00_00_00	돈거무, 돈거미, 돈구루, 돈버러지, 돈벌기	 	돈벌개이, 돈지네	돈거	 	 	 	 	돈버렝이	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돈벼락	[명사][방언]	NNG	00_00_00	돈베락	 	돈베락	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	갑자기 한꺼번에 생긴 많은 돈을 비유적으로 이르는 말.
돈저냐	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	갈랍, 우끼	 	 	 	 	 	 	 	 	 	 	 	엽전 모양으로 생긴 저냐
돈점박이	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	돈점백이	 	돈점백이	 	 	 	몸에 돈짝 만한 점들이 박혀 있는 말.
돈주머니	[명사][방언]	NNG	00_00_00	 	 	돈쪼마이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돈을 넣어 두는 주머니.
돈지갑	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	테보재	 	 	 	 	 	'지갑03(紙匣)⑴'의 본말.
돈지랄	[명사][방언]	NNG	00_00_00	돈주정, 돈쥐정	 	돈타작	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	분수에 맞지 아니하게 아무 데나 돈을 함부로 쓰는 짓을 속되게 이르는 말
돈지랄하다	[동사][방언]	VV	00_00_00	 	 	돈타작하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	분수에 맞지 아니하게 아무 데나 돈을 함부로 쓰는 짓을 속되게 이르는 말
돈치기	[명사][방언]	NNG	00_00_00	 	 	돈따묵기	 	 	 	목대치기	목대치기	고냥치기, 고망치기, 구녕치기	 	 	 	 	 	 	 	 	 	쇠붙이로 만든 돈을 땅바닥에 던져 놓고 그것을 맞히면서 내기를 하는 놀이
돋보기	[명사][방언]	NNG	00_00_00	돋배기, 돋베기	덛베기	돋베기, 돋베이, 돋봬기, 똗배기	돋베기	돋베기, 돋뵈기, 됟베기, 됟뵈기	돋베기, 됟베기, 됟뵈기	 	 	 	 	학실	돋베기	돋베기	 	덛베기, 돋베기, 됟베기	 	돋베기, 돋봬기	 	작은 것을 크게 보이도록 알의 배를 볼록하게 만든 안경
돋보기안경	[명사][방언]	NNG	00_00_00	 	 	똗베기안겡	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	작은 것을 크게 보이도록 알의 배를 볼록하게 만든 안경
돋보이다	[동사][방언]	VV	00_00_00	돋보키다, 돋뵈키다, 돋비키다	 	돋비이다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	실상보다 좋게 보다.
돋아나다	[동사][방언]	VV	00_00_00	돋어나다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	해나 별 따위가 하늘에 또렷이 솟아오르다.
돋우다	[동사][방언]	VV	00_00_00	 	 	 	 	도드다	 	 	 	돋후다	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돋우다	[동사][방언]	VV	01_00_00	 	 	도까다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	위로 끌어 올려 도드라지거나 높아지게 하다.
돋치다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	 	 	돋티다	돋티다	 	 	 	 	 	 	 	돋아서 내밀다.
돌	[명사][방언]	NNG	00_00_00	 	돌시	돌세, 돌시, 돜	 	돌게, 돌시, 돌쎄	돌게, 돜	 	돜	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돌	[명사][방언]	NNG	01_00_00	 	 	 	 	돌씨, 똘	 	 	 	돗	 	 	돌씨	돌씨	 	 	 	 	 	어린아이가 태어난 날로부터 한 해가 되는 날.
돌	[명사][방언]	NNG	02_00_00	 	둑	독, 돍	돍	독, 독팍	돍	독	 	 	 	 	 	 	 	 	 	 	 	흙 따위가 굳어서 된 광물질의 단단한 덩어리
돌가루	[명사][방언]	NNG	00_00_00	돌가리, 돌갈그	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돌이 아주 잘게 부스러진 가루.
돌감나무	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	돌캄낭	 	 	 	 	 	 	 	 	 	산이나 들에 저절로 나서 자란 감나무
돌개바람	[명사][방언]	NNG	00_00_00	 	 	도개바람, 도랫바람, 돌깨바람	돌갯바람, 돌괴바람	 	 	 	 	 	 	 	돌개바럼	달개바람, 돌개바럼, 돌개보람, 돌개보롬	 	달개바람, 돌개바럼	 	도개바람	 	열대 지방에서 발생하는 열대성 저기압을 통틀어 이르는 말
돌격	[명사][방언]	NNG	00_00_00	 	 	돌겍	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	갑자기 냅다 침.
돌고기	[명사][방언]	NNG	00_00_00	돌나리, 뚜꾸방	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	잉엇과의 민물고기
돌고래	[명사][방언]	NNG	00_00_00	꼽뎅이, 꼽디이	 	곱시기	곱시기	 	 	 	 	감세기, 수어기, 수에기, 수웨기, 수해기	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돌구유	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	돌구수	 	 	 	 	 	 	 	 	 	 	 	돌을 파서 만든 구유.
돌기둥	[명사][방언]	NNG	00_00_00	돌지둥	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돌을 다듬어서 만든 기둥.
돌기와	[명사][방언]	NNG	00_00_00	돌재, 돌지와	 	 	 	 	 	돌게와	 	 	 	 	 	 	 	 	 	 	 	지붕을 일 때 기와처럼 쓰는 얇은 돌 조각.
돌기와집	[명사][방언]	NNG	00_00_00	돌재집	 	 	 	 	 	 	 	 	 	 	 	 	돌갸집	 	 	 	 	기와처럼 얇은 돌 조각으로 지붕을 올린 집.
돌김	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	돌늣	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돌꼇	[명사][방언]	NNG	00_00_00	 	 	 	돌고지, 돌곳	 	 	 	 	 	 	돌갯	 	 	 	 	 	 	 	실을 감거나 푸는 데 쓰는 기구
돌꼇잠	[명사][방언]	NNG	00_00_00	돌개잠	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	한자리에 누워 자지 아니하고 이리저리 굴러다니면서 자는 잠
돌나물	[명사][방언]	NNG	00_00_00	돋나물	 	돈내이, 돈냉이	돌내이, 돌찌이	돈너물, 돋노물	 	 	 	 	 	 	 	 	 	 	 	 	 	돌나물과의 여러해살이풀
돌날	[명사][방언]	NNG	00_00_00	 	 	 	 	똘날	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돌너덜	[명사][방언]	NNG	00_00_00	 	 	돌너더랑	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돌이 많이 흩어져 있는 비탈.
돌놈	[명사][방언]	NNG	00_00_00	 	 	돌넘	돌눔	 	 	 	 	 	 	 	 	 	 	 	 	 	 	버릇이 없는 사람을 낮잡아 이르는 말.
돌능금	[명사][방언]	NNG	00_00_00	 	 	 	돌능굼	 	 	 	 	 	 	 	 	 	 	 	 	 	 	야생 능금나무의 열매. 작고 신맛이 난다.
돌다리	[명사][방언]	NNG	01_00_00	 	 	독다리	 	 	 	 	 	독다리	 	 	 	 	 	 	 	 	 	돌로 만든 다리.
돌단풍	[명사][방언]	NNG	00_00_00	부체손	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	범의귓과의 여러해살이풀
돌담	[명사][방언]	NNG	00_00_00	 	 	 	돌댐	독다무락	독다무락, 돌다무락	 	 	돌탐, 잣벡	돌각담	돌각담	줄담	돌각담, 듁담	 	 	 	 	 	미존재 뜻풀이
돌담	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	둑담	둑담	 	듁	 	 	 	 	 	돌로 쌓은 담.
돌담불	[명사][방언]	NNG	00_00_00	 	 	돌담부락, 돌담부랑	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	산이나 들에 모여 있는 돌무더기.
돌대가리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	돌골	 	 	 	 	 	몹시 어리석거나 둔한 머리를 낮잡아 이르는 말.
돌덩어리	[명사][방언]	NNG	00_00_00	돌덩거리, 돌등거리	 	돌뜸거리, 독더리, 돌덩거리	돌뜸거리, 돌덩거리	독데아리	 	 	 	 	 	 	 	 	 	 	 	 	 	비교적 큰 돌덩이.
돌덩이	[명사][방언]	NNG	00_00_00	돌뎅이, 돌디이	 	독딩이, 돌띵이, 독뎅이, 돌데, 돌딩이, 돌띠이, 돌빡	 	독데기, 독데이, 독뎅이, 독때기, 돌데이, 동데이	독뎅이, 독때기	돌딩이	 	 	 	 	돌뎅기	돌뎅기, 돌쟁기	 	돌쟁기	 	 	 	돌멩이보다 크고 바위보다 작은 돌.
돌둑	[명사][방언]	NNG	00_00_00	 	 	 	 	똘뚝	 	 	 	 	 	 	 	 	 	 	 	 	 	도랑의 양옆에 만든 둑.
돌땅	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	쇠메질	쇠메질	 	 	 	 	 	 	 	 	 	 	돌이나 망치 따위로 고기가 숨어 있을 만한 물속의 큰 돌을 세게 쳐서 그 충격으로 고기를 잡는 일
돌띠	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	두름띠	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돌띠저고리	[명사][방언]	NNG	00_00_00	 	 	돌띠저구리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돌띠를 단 어린아이의 저고리.
돌라대다	[동사][방언]	VV	00_00_00	 	 	돌리대다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돈이나 물건 따위를 다른 데서 꾸거나 얻어서 대다.
돌려놓다	[동사][방언]	VV	00_00_00	돌레놓다	 	돌리놓다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	방향을 바꾸어 놓다.
돌려먹다	[동사][방언]	VV	00_00_00	 	 	돌리묵다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	마음이나 작정 따위를 달리 바꾸다.
돌려받다	[동사][방언]	VV	00_00_00	 	 	돌리받다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	빌려 주거나 빼앗겼거나 주었던 것을 도로 갖게 되다.
돌려보내다	[동사][방언]	VV	00_00_00	돌레보내다	 	돌리보내다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	사람이나 물건을 본래 있던 곳으로 도로 보내다.
돌려세우다	[동사][방언]	VV	00_00_00	 	 	돌리세우다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	방향을 바꾸게 하다.
돌려쓰다	[동사][방언]	VV	00_00_00	돌레씨다	 	돌리스다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돈이나 물건 따위를 변통하여 쓰다.
돌려주다	[동사][방언]	VV	00_00_00	 	 	돌리주다	 	 	 	 	 	 	 	 	돌가주다	돌가주다	 	 	 	 	 	빌리거나 뺏거나 받거나 한 것을 주인에게 도로 주거나 갚다
돌려짓기	[명사][방언]	NNG	00_00_00	돌레짓기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	같은 땅에 여러 가지 농작물을 해마다 바꾸어 심는 일.
돌려짓기하다	[동사][방언]	VV	00_00_00	돌레짓기하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	같은 땅에 여러 가지 농작물을 해마다 바꾸어 심는 일.
돌리다	[동사][방언]	VV	00_00_00	 	 	돌류다, 돌류다, 돌이다	 	 	 	 	 	똘리다, 똘이우다	 	 	돌구다, 돌기다	돌구다	 	돌구다, 돌기다	 	돌이다	 	미존재 뜻풀이
돌림	[명사][방언]	NNG	00_00_00	 	 	돌림뺑이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
돌림감기	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	돌림부리	돌림부리	 	 	돌김	 	 	 	 	 	 	 	전염성이 있는 감기.
돌림병	[명사][방언]	NNG	00_00_00	 	 	돌림벵	 	돌갯병	 	돌량	 	돌림벵	 	 	 	 	 	 	 	 	 	어떤 지역에 널리 퍼져 여러 사람이 잇따라 돌아가며 옮아 앓는 병
돌림자	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	돌림재	돌림재	 	 	 	 	 	 	 	항렬을 나타내기 위하여 이름자 속에 넣어 쓰는 글자
돌림턱	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	돌림탁	 	 	 	 	 	 	 	여러 사람이 일정한 시간을 두고 차례로 돌아가며 내는 턱
돌마자	[명사][방언]	NNG	00_00_00	돌나리	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	잉엇과의 민물고기
돌멩이	[명사][방언]	NNG	00_00_00	돌메이, 돌미이, 돌밍이	돌팍, 돌밍이, 두팍	독패이, 돌뜸거리, 돌몽싱이, 돌미, 돌뻬이, 돌삐이, 돌패이, 돌핑이, 동밍이, 독메이, 독미이, 독밍이, 독페이, 독펭이, 독핑이, 돌메이, 돌뭉시, 돌뭉싱이, 돌미이, 돌밍이, 돌배시, 돌뼁이, 돌삐, 돌삥, 돌삥이, 돌페이	돌망치, 돌매키, 돌미, 돌삐이, 돌팍, 동밍이, 독미이, 독밍이, 돌멍, 돌메이, 돌메키, 돌뭉치, 돌미이, 돌밍이, 돌뼁이, 돌삥이	도팍, 독팡구, 돌메이, 돌몽생이, 돌몽세이, 돌몽셍이, 돌몽시, 돌밍이, 돌짱, 동뭉데이	독팡구, 돌밍이	독막, 독멩이, 돌막, 돌매기, 돌팍, 돌마, 돌메이, 돌밍이, 둘멩이	돌메이, 돌밍이	독상귀, 독새기, 돌셍기	돌밍이	돌밍이	짜개	돌밍이	돌찌기, 돌막다구, 돌막자구, 돌막지, 돌망구, 돌망이, 돌맨, 돌밍이	 	 	 	 	돌덩이보다 작고 자갈보다 큰 돌.
돌멩이질	[명사][방언]	NNG	00_00_00	 	 	돌메이질	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돌멩이를 던지는 짓.
돌멩이질하다	[동사][방언]	VV	00_00_00	 	 	돌메이질하다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	돌멩이를 던지는 짓.
돌무더기	[명사][방언]	NNG	00_00_00	돌무데비, 돌무뎅이	 	돌무디, 돌무디기, 돌무징이	 	 	 	돌무디기	 	머들, 돌무두룸, 머돌, 머둘	 	각닥데미	 	 	 	 	 	 	 	돌덩이가 모여 쌓인 무더기.
돌무덤	[명사][방언]	NNG	00_00_00	 	 	 	 	독다말	 	 	 	 	 	 	 	 	 	 	 	 	 	돌을 쌓아 올려 만든 높은 무덤
돌묵상어	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	모도리	 	 	 	 	 	 	 	 	 	돌묵상엇과의 바닷물고기
